Q55372,P5063,i43963
Q639022,P8814,01648775-n
Q639022,P5063,i43965
Q1762264,P8814,01650642-n
Q1762264,P5063,i43978
Q1515577,P8814,01651135-n
Q1515577,P5063,i43981
Q2317066,P8814,01651634-n
Q2317066,P5063,i43984
Q53696,P8814,01652589-n
Q53696,P5063,i43989
Q826861,P8814,01653150-n
Q826861,P5063,i43991
Q481983,P8814,01654011-n
Q481983,P5063,i43996
Q3410266,P8814,01654804-n
Q3410266,P5063,i44002
Q56057,P8814,01655224-n
Q56057,P5063,i44004
Q523202,P8814,01655491-n
Q523202,P5063,i44005
Q2272745,P8814,01656025-n
Q2272745,P5063,i44008
Q2351631,P8814,01656616-n
Q2351631,P5063,i44012
Q33141532,P8814,01656886-n
Q33141532,P5063,i44014
Q1342298,P8814,01657070-n
Q1342298,P5063,i44015
Q913066,P8814,01657757-n
Q913066,P5063,i44019
Q3495411,P8814,01658719-n
Q3495411,P5063,i44023
Q18595307,P8814,01658981-n
Q18595307,P5063,i44024
Q131447,P8814,01659217-n
Q131447,P5063,i44025
Q14566112,P8814,01666300-n
Q14566112,P5063,i44039
Q2938164,P8814,01666580-n
Q2938164,P5063,i44041
Q810578,P8814,01666885-n
Q810578,P5063,i44043
Q14566111,P8814,01667503-n
Q14566111,P5063,i44047
Q2738058,P8814,01667879-n
Q2738058,P5063,i44049
Q11693960,P8814,01668013-n
Q11693960,P5063,i44050
Q650212,P8814,01668402-n
Q650212,P5063,i44052
Q107273008,P8814,01669072-n
Q107273008,P5063,i44056
Q387150,P8814,01669443-n
Q387150,P5063,i44058
Q14566115,P8814,01670600-n
Q14566115,P5063,i44065
Q14566117,P8814,01672168-n
Q14566117,P5063,i44074
Q662605,P8814,01673019-n
Q662605,P5063,i44078
Q1012045,P8814,01673602-n
Q1012045,P5063,i44082
Q374835,P8814,01674515-n
Q374835,P5063,i44087
Q15099738,P8814,01675591-n
Q15099738,P5063,i44093
Q122422,P8814,01676144-n
Q122422,P5063,i44096
Q15872,P8814,01677491-n
Q15872,P5063,i44100
Q1394970,P8814,01677866-n
Q1394970,P5063,i44102
Q2509308,P8814,01678240-n
Q2509308,P5063,i44104
Q849482,P8814,01678605-n
Q849482,P5063,i44106
Q205531,P8814,01679883-n
Q205531,P5063,i44110
Q14179741,P8814,01680254-n
Q14179741,P5063,i44112
Q14422490,P8814,01680554-n
Q14422490,P5063,i44114
Q14422461,P8814,01681163-n
Q14422461,P5063,i44118
Q2427811,P8814,01681528-n
Q2427811,P5063,i44120
Q2707849,P8814,01681819-n
Q2707849,P5063,i44122
Q607912,P8814,01682478-n
Q607912,P5063,i44126
Q2118277,P8814,01682778-n
Q2118277,P5063,i44128
Q613830,P8814,01683841-n
Q613830,P5063,i44134
Q2535475,P8814,01684154-n
Q2535475,P5063,i44136
Q288720,P8814,01684453-n
Q288720,P5063,i44138
Q311348,P8814,01685229-n
Q311348,P5063,i44143
Q26187,P8814,01685677-n
Q26187,P5063,i44146
Q260342,P8814,01686069-n
Q260342,P5063,i44148
Q1073830,P8814,01686653-n
Q1073830,P5063,i44152
Q536460,P8814,01687748-n
Q536460,P5063,i44158
Q1004429,P8814,01688320-n
Q1004429,P5063,i44161
Q191102,P8814,01690082-n
Q191102,P5063,i44171
Q14425550,P8814,01690747-n
Q14425550,P5063,i44175
Q1142794,P8814,01691069-n
Q1142794,P5063,i44177
Q14089811,P8814,01691453-n
Q14089811,P5063,i44179
Q2046334,P8814,01692646-n
Q2046334,P5063,i44186
Q13416819,P8814,01693344-n
Q13416819,P5063,i44190
Q855694,P8814,01693498-n
Q855694,P5063,i44191
Q2851721,P8814,01693726-n
Q2851721,P5063,i44192
Q13033818,P8814,01694025-n
Q13033818,P5063,i44194
