Q1586243	P5063	"i43518"
Q40654149	P8814	"01571903-n"
Q40654149	P5063	"i43521"
Q787047	P8814	"01572612-n"
Q787047	P5063	"i43526"
Q40659522	P8814	"01572908-n"
Q40659522	P5063	"i43528"
Q1368136	P8814	"01576001-n"
Q1368136	P5063	"i43547"
Q599898	P8814	"01576268-n"
Q599898	P5063	"i43549"
Q1424486	P8814	"01577201-n"
Q1424486	P5063	"i43555"
Q20823352	P8814	"01580099-n"
Q20823352	P5063	"i43573"
Q116667	P8814	"01580582-n"
Q116667	P5063	"i43576"
Q199758	P8814	"01583511-n"
Q199758	P5063	"i43595"
Q80858	P8814	"01583807-n"
Q80858	P5063	"i43597"
Q1142785	P8814	"01584625-n"
Q1142785	P5063	"i43602"
Q25307	P8814	"01585039-n"
Q25307	P5063	"i43605"
Q25740	P8814	"01587336-n"
Q25740	P5063	"i43618"
Q746317	P8814	"01588063-n"
Q746317	P5063	"i43623"
Q935880	P8814	"01588356-n"
Q935880	P5063	"i43625"
Q1585636	P8814	"01588661-n"
Q1585636	P5063	"i43627"
Q1587047	P8814	"01589919-n"
Q1587047	P5063	"i43634"
Q135589	P8814	"01591366-n"
Q135589	P5063	"i43643"
Q646366	P8814	"01591637-n"
Q646366	P5063	"i43645"
Q490294	P8814	"01592359-n"
Q490294	P5063	"i43649"
Q156767	P8814	"01593646-n"
Q156767	P5063	"i43656"
Q1048896	P8814	"01595923-n"
Q1048896	P5063	"i43670"
Q40654079	P8814	"01598615-n"
Q40654079	P5063	"i43686"
Q25909	P8814	"01598914-n"
Q25909	P5063	"i43688"
Q1062485	P8814	"01599249-n"
Q1062485	P5063	"i43690"
Q1078246	P8814	"01600715-n"
Q1078246	P5063	"i43699"
Q184508	P8814	"01601800-n"
Q184508	P5063	"i43705"
Q31874734	P8814	"01601910-n"
Q31874734	P5063	"i43706"
Q27075292	P8814	"01602982-n"
Q27075292	P5063	"i43713"
Q585670	P8814	"01603709-n"
Q585670	P5063	"i43717"
Q107055630	P8814	"01604721-n"
Q107055630	P5063	"i43723"
Q912010	P8814	"01604850-n"
Q912010	P5063	"i43724"
Q1586476	P8814	"01605641-n"
Q1586476	P5063	"i43729"
Q25353	P8814	"01609163-n"
Q25353	P5063	"i43745"
Q25380	P8814	"01609313-n"
Q25380	P5063	"i43746"
Q26407	P8814	"01610241-n"
Q26407	P5063	"i43752"
Q170466	P8814	"01610906-n"
Q170466	P5063	"i43756"
Q430540	P8814	"01611703-n"
Q430540	P5063	"i43761"
Q26431	P8814	"01612597-n"
Q26431	P5063	"i43766"
Q26574	P8814	"01612741-n"
Q26574	P5063	"i43767"
Q25572	P8814	"01612867-n"
Q25572	P5063	"i43768"
Q26490	P8814	"01614610-n"
Q26490	P5063	"i43777"
Q131918	P8814	"01614916-n"
Q131918	P5063	"i43779"
Q40657867	P8814	"01615818-n"
Q40657867	P5063	"i43784"
