wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
01584248-n,nutcrackers,i43599,Nucifraga|genus Nucifraga,Q1951909
01585266-n,Australian birds formerly included in the family Laniidae,i43607,Cracticidae|family Cracticidae,Q373682
01585684-n,type genus of the Cracticidae: Australian butcherbirds,i43609,Cracticus|genus Cracticus,Q2718273
01586277-n,in some classifications placed in the family Laniidae: Australian piping crows,i43613,Gymnorhina|genus Gymnorhina,Q10763400
01587170-n,type genus of the Troglodytidae,i43617,Troglodytes|genus Troglodytes,Q3888717
01587635-n,marsh wrens,i43620,Cistothorus|genus Cistothorus,Q867629
01588218-n,a genus of Troglodytidae,i43624,Salpinctes|genus Salpinctes,Q10812327
01588531-n,Carolina wrens,i43626,Thryothorus|genus Thryothorus,Q11848605
01589182-n,sometimes considered a subfamily of Troglodytidae: mockingbirds; catbirds; thrashers,i43630,Mimidae|family Mimidae,Q753221
01589432-n,type genus of the family Mimidae: mockingbirds,i43631,Mimus|genus Mimus,Q2498241
01589789-n,a genus of Mimidae,i43633,Melanotis|genus Melanotis,Q2165737
01590047-n,catbirds,i43635,Dumetella|genus Dumetella,Q10757040
01590354-n,thrashers,i43637,Toxostoma|genus Toxostoma,Q430477
01590813-n,alternative names for the family comprising the New Zealand wrens,i43640,Xenicidae|family Xenicidae|Acanthisittidae|family Acanthisittidae,Q537702
01591230-n,type genus for the Xenicidae,i43642,Xenicus|genus Xenicus,Q621253
01591499-n,a genus of Xenicidae,i43644,Acanthisitta|genus Acanthisitta,Q10730467
01591766-n,creepers,i43646,Certhiidae|family Certhiidae,Q205938
01592223-n,type genus of the Certhiidae,i43648,Certhia|genus Certhia,Q1991437
01592683-n,wall creepers; in some classifications placed in family Sittidae,i43651,Tichodroma|genus Tichodroma,Q10826827
01594551-n,type genus of the family Paridae,i43661,Parus|genus Parus,Q719380
01595533-n,"a genus of Paridae, containing the American bushtit (Psaltriparus)",i43667,Psaltriparus|genus Psaltriparus,Q16070731
01595797-n,"a genus of Paridae, containing the wrentit (Chamaea)",i43669,Chamaea|genus Chamaea,Q10745525
01596064-n,"a genus of Paridae, containing the verdin (Auriparus)",i43671,Auriparus|genus Auriparus,Q10736288
01596346-n,"a family of birds of the suborder Oscines, comprising the leafbirds, ioras, and fairy bluebirds (Irenidae)",i43673,Irenidae|family Irenidae,Q180423
01596798-n,swallows and martins,i43676,Hirundinidae|family Hirundinidae,Q39861
01597971-n,a genus of Hirundinidae,i43682,Iridoprocne|genus Iridoprocne,Q261763
01598482-n,"a genus of Hirundinidae, containing three species of house martin (Delichon)",i43685,Delichon|genus Delichon,Q310857
01598783-n,"a genus of Hirundinidae containing six species, the brown-throated martin, the grey-throated martin, the congo martin, the sand martin or bank swallow, the pale martin or pale sand martin, and the banded martin (Riparia)",i43687,Riparia|genus Riparia,Q901041
01599120-n,"a genus of Hirundinidae containing nine American swallows, the purple martin, the Caribbean martin, the Cuban martin, the Sinaloa martin, the grey-breasted martin, the Galapagos martin, the Peruvian martin, the Southern martin, and the brown-chested martin (Progne)",i43689,Progne|genus Progne,Q665719
01599402-n,wood swallows,i43691,Artamidae|family Artamidae,Q842378
01599528-n,type genus of the Artamidae,i43692,Artamus|genus Artamus,Q2483684
01600192-n,a genus of Thraupidae,i43696,Piranga|genus Piranga,Q225353
01601073-n,shrikes,i43701,Laniidae|family Laniidae,Q171052
01602838-n,a genus of Malaconotinae,i43712,Chlorophoneus|genus Chlorophoneus,Q14437812
01603550-n,type genus of the Ptilonorhynchidae,i43716,Ptilonorhynchus|genus Ptilonorhynchus,Q10809555
01603909-n,a genus of Ptilonorhynchidae,i43718,Chlamydera|genus Chlamydera,Q860867
01604191-n,water ouzels,i43720,Cinclidae|family Cinclidae,Q15631675
01604560-n,type genus of the family Cinclidae,i43722,Cinclus|genus Cinclus,Q192575
01605957-n,"a family of birds of the suborder Oscines, it includes waxwings, silky flycatchers, and the gray hypocolius of Southwest Asia (Bombycillidae)",i43731,Bombycillidae|family Bombycillidae,Q11897625
01606119-n,waxwings,i43732,Bombycilla|genus bombycilla,Q208940
01607266-n,"chiefly diurnal carnivorous birds having hooked beaks and long talons with opposable hind toe: falcons, hawks, eagles, ospreys, caracaras, vultures",i43738,Falconiformes|order Falconiformes,Q25370
01610727-n,a common European bird of prey; dull brown with white-streaked underparts,i43755,Pernis|genus Pernis,Q6377551
01611575-n,a genus of kites,i43760,Elanoides|genus Elanoides,Q10758200
01612190-n,a genus of haws comprising the harriers,i43764,Circus|genus Circus,Q207796
01613067-n,harrier eagles,i43769,Circaetus|genus Circaetus,Q867544
01613399-n,a family of birds of the order Falconiformes,i43771,Falconidae|family Falconidae,Q21744
01615444-n,"a genus of Falconidae, commonly known as long-winged hawks or typical caracaras (Polyborus)",i43782,Polyborus|genus Polyborus,Q1238727
01616550-n,a genus of Accipitridae,i43788,Harpia|genus Harpia,Q15138218
01616836-n,"a genus of Accipitridae, containing the true eagles (Aquila)",i43790,Aquila|genus Aquila,Q30085
01617410-n,"a genus of Accipitridae, containing the sea eagles (Haliaeetus)",i43794,Haliaeetus|genus Haliaeetus,Q147403
01618466-n,ospreys,i43800,Pandionidae|family Pandionidae,Q28240
01618590-n,type genus of the Pandionidae,i43801,Pandion|genus Pandion,Q3893145
01619930-n,in some classifications the type genus of the family Aegypiidae,i43808,Gypaetus|genus Gypaetus,Q13649293
01620274-n,"a genus of Accipitridae containing the Egyptian vulture, also known as the white scavenger vulture or pharaoh's chicken (Neophron)",i43810,Neophron|genus Neophron,Q3347141
01620590-n,"a genus of Accipitridae, containing the cinereous vulture, also known as the black vulture, monk vulture, or Eurasian black vulture (Aegypius)",i43812,Aegypius|genus Aegypius,Q13428439
01620861-n,secretary birds,i43814,Sagittariidae|family Sagittariidae,Q2346527
01620997-n,type genus of the Sagittariidae,i43815,Sagittarius|genus Sagittarius,Q15042109
01621312-n,condors; turkey buzzards; king vultures,i43817,Cathartidae|family Cathartidae,Q184858
01622316-n,a bird that is usually restricted to the Andean condor,i43822,Vultur|genus Vultur,Q15042113
01622644-n,containing solely the California condor,i43824,Gymnogyps|genus Gymnogyps,Q10763377
01622923-n,a genus of Cathartidae,i43826,Coragyps|genus Coragyps,Q14786570
01623216-n,usually containing only the king vulture,i43828,Sarcorhamphus|genus Sarcorhamphus,Q15734727
01624355-n,a family of nocturnal birds of the order Strigiformes,i43833,Strigidae|family Strigidae,Q26012
01624635-n,"a genus of Strigidae containing the spotted owlet, little owl, forest owlet, and burrowing owl (Athene)",i43834,Athene|genus Athene,Q663507
01625925-n,a genus of Strigidae containing the Scops owl (Otus),i43843,Otus|genus Otus,Q832329
01627047-n,a genus of hawk-like owls,i43851,Surnia|genus Surnia,Q10822188
01627348-n,a genus of European owls,i43853,Asio|genus Asio,Q648422
01627628-n,"a genus of Strigidae containing the laughing owl, whekau, or white-faced owl (Sceloglaux)",i43855,Sceloglaux|genus Sceloglaux,Q18088155
01627916-n,comprising only the barn owls,i43857,Tytonidae|family Tytonidae,Q27112
01630427-n,earliest fossil amphibian ever found; of the Devonian; found in Pennsylvania,i43864,Hynerpeton|genus Hynerpeton,Q132802
01630789-n,second earliest fossil amphibian ever found; of the Devonian; found in Greenland,i43866,genus Ichthyostega,Q131475
01631526-n,salamanders,i43870,Salamandridae|family Salamandridae,Q319469
01633174-n,chiefly aquatic salamanders,i43877,Triturus|genus Triturus,Q310391
01635688-n,large aquatic salamanders: hellbenders; giant salamanders,i43894,Cryptobranchidae|family Cryptobranchidae,Q754032
01635891-n,type genus of the Cryptobranchidae,i43895,Cryptobranchus|genus Cryptobranchus,Q2120568
01636219-n,giant salamanders; in some classifications included in the genus Cryptobranchus,i43897,Megalobatrachus|genus Megalobatrachus,Q922164
01636590-n,mud puppies,i43899,Proteidae|family Proteidae,Q743692
01636733-n,type genus of the Proteidae,i43900,Proteus|genus Proteus,Q2743186
01637325-n,large and small highly aquatic salamanders,i43904,Dicamptodontidae|family Dicamptodontidae,Q14547873
01638605-n,type genus of the Plethodontidae,i43911,Plethodon|genus Plethodon,Q2256290
01639316-n,an amphibian genus of Plethodontidae,i43915,Desmograthus|genus Desmograthus|Desmognathus|genus Desmognathus,Q2698057
01639625-n,climbing salamanders,i43917,Aneides|genus Aneides,Q2698192
01640119-n,slender salamanders,i43920,Batrachoseps|genus Batrachoseps,Q786876
01641123-n,the family of congo snakes (Amphiumidae),i43926,Amphiumidae|family Amphiumidae,Q11841073
01641593-n,sirens,i43929,Sirenidae|family Sirenidae,Q240755
01642010-n,"frogs, toads, tree toads",i43932,Salientia|order Salientia|Anura|order Anura|Batrachia|order Batrachia,Q53636
01643208-n,type genus of the Ranidae,i43935,Rana|genus Rana,Q72738
01645312-n,New World frogs; in some classifications essentially coextensive with the family Bufonidae,i43946,Leptodactylidae|family Leptodactylidae,Q55475
01646015-n,barking frogs,i43950,Hylactophryne|genus Hylactophryne,Q2101311
01646328-n,type genus of the Leptodactylidae; in some classifications placed in the family Bufonidae,i43952,Leptodactylus|genus Leptodactylus,Q2501775
01646745-n,Old World tree frogs,i43954,Polypedatidae|family Polypedatidae,Q56065
01646886-n,type genus of the Polypedatidae,i43955,Polypedates|genus Polypedates,Q945221
01647340-n,type genus of the Ascaphidae; in some classifications included in the family Leiopelmatidae,i43958,Ascaphus|genus Ascaphus,Q2925426
01647734-n,primitive New Zealand frogs,i43960,Leiopelmatidae|family Leiopelmatidae|Liopelmidae|family Liopelmidae,Q55477
01648275-n,true toads,i43963,Bufonidae|family Bufonidae,Q55372
01648775-n,type genus of the Bufonidae; common toads of New and Old Worlds,i43965,genus Bufo,Q639022
01650642-n,midwife toads,i43978,Alytes|genus Alytes,Q1762264
01651135-n,fire-bellied toads,i43981,Bombina|genus Bombina,Q1515577
01651634-n,New World spadefoot toads,i43984,Scaphiopus|genus Scaphiopus,Q2317066
01652589-n,the amphibian family of tree frogs,i43989,Hylidae|family Hylidae,Q53696
01653150-n,the type genus of the Hylidae; tree toads,i43991,Hyla|genus Hyla,Q826861
01654011-n,cricket frogs,i43996,Acris|genus Acris,Q481983
01654804-n,burrowing tree frogs,i44002,Pternohyla|genus Pternohyla,Q3410266
01655224-n,narrow-mouthed toads and sheep frogs; some burrow and some are arboreal; found worldwide,i44004,Microhylidae|family Microhylidae|Brevicipitidae|family Brevicipitidae,Q56057
01655491-n,primarily tropical narrow-mouthed toads,i44005,Gastrophryne|genus Gastrophryne,Q523202
01656025-n,sheep frogs,i44008,Hypopachus|genus Hypopachus,Q2272745
01656616-n,type genus of the Pipidae,i44012,Pipa|genus Pipa,Q2351631
01656886-n,in some classifications the family of the genus Xenopus which is otherwise included in the family Pipidae,i44014,Xenopodidae|family Xenopodidae,Q33141532
01657070-n,an African clawed frog; in some classifications made the type genus of a separate family Xenopodidae,i44015,Xenopus|genus Xenopus,Q1342298
01657757-n,coextensive with the order Gymnophiona: legless amphibians,i44019,Caeciliidae|family Caeciliidae|Caeciliadae|family Caeciliadae,Q913066
01658719-n,formerly a suborder of Stegocephalia; amphibia having vertebrae whose component elements are fused into a single piece,i44023,Stereospondyli|order Stereospondyli,Q3495411
01658981-n,in former classifications a division of class Amphibia comprising all pre-Jurassic and some later extinct large salamandriform amphibia,i44024,Stegocephalia|order Stegocephalia,Q18595307
01659217-n,formerly a suborder of Stegocephalia; large Carboniferous and Permian amphibians having vertebrae in which some elements remain separate,i44025,Temnospondyli|order Temnospondyli,Q131447
01666300-n,green turtles,i44039,Chelonia|genus Chelonia,Q14566112
01666580-n,loggerhead turtles,i44041,Caretta|genus Caretta,Q2938164
01666885-n,ridleys,i44043,Lepidochelys|genus Lepidochelys,Q810578
01667503-n,hawksbills,i44047,Eretmochelys|genus Eretmochelys,Q14566111
01667879-n,sea turtles,i44049,Dermochelyidae|family Dermochelyidae,Q2738058
01668013-n,type genus of the Dermochelyidae: leatherback turtles,i44050,Dermochelys|genus Dermochelys,Q11693960
01668402-n,"family of turtles containing two genera, Chelydra and Macrochelys (Chelydridae)",i44052,Chelydridae|family Chelydridae,Q650212
01669072-n,includes the alligator snapping turtle,i44056,Macroclemys|genus Macroclemys,Q107273008
01669443-n,mud turtles; musk turtles,i44058,Kinosternidae|family Kinosternidae,Q387150
01670600-n,American terrapins,i44065,Malaclemys|genus Malaclemys,Q14566115
01672168-n,painted turtles,i44074,Chrysemys|genus Chrysemys,Q14566117
01673019-n,type genus of the Testudinidae,i44078,Testudo|genus Testudo,Q662605
01673602-n,gopher tortoises,i44082,Gopherus|genus Gopherus,Q1012045
01674515-n,soft-shelled turtles,i44087,Trionychidae|family Trionychidae,Q374835
01675591-n,tuataras; extinct forms from middle Triassic,i44093,Rhynchocephalia|order Rhynchocephalia,Q15099738
01676144-n,diapsid reptiles: snakes and lizards,i44096,Squamata|order Squamata,Q122422
01677491-n,geckos,i44100,Gekkonidae|family Gekkonidae,Q15872
01677866-n,flying geckos,i44102,Ptychozoon|genus Ptychozoon,Q1394970
01678240-n,banded geckos,i44104,Coleonyx|genus Coleonyx,Q2509308
01678605-n,Australian and Tasmanian lizards,i44106,Pygopodidae|family Pygopodidae,Q849482
01679883-n,type genus of the Iguanidae,i44110,genus Iguana,Q205531
01680254-n,marine iguanas,i44112,Amblyrhynchus|genus Amblyrhynchus,Q14179741
01680554-n,desert iguanas,i44114,Dipsosaurus|genus Dipsosaurus,Q14422490
01681163-n,zebra-tailed lizard,i44118,Callisaurus|genus Callisaurus,Q14422461
01681528-n,fringe-toed lizard,i44120,Uma|genus Uma,Q2427811
01681819-n,earless lizards,i44122,Holbrookia|genus Holbrookia,Q2707849
01682478-n,leopard lizards,i44126,Gambelia|genus Gambelia,Q607912
01682778-n,spiny lizards,i44128,Sceloporus|genus Sceloporus,Q2118277
01683841-n,"a reptile genus of Iguanidae, containing the side-blotched lizards (Uta)",i44134,Uta|genus Uta,Q613830
01684154-n,"a reptile genus of Iguanidae, containing the tree and brush lizards (Urosaurus)",i44136,Urosaurus|genus Urosaurus,Q2535475
01684453-n,horned lizards,i44138,Phrynosoma|genus Phrynosoma,Q288720
01685229-n,New World chameleons,i44143,Anolis|genus Anolis,Q311348
01685677-n,type genus of the Amphisbaenidae,i44146,Amphisbaena|genus Amphisbaena|Amphisbaenia|genus Amphisbaenia,Q26187
01686069-n,night lizards,i44148,Xantusiidae|family Xantusiidae,Q260342
01686653-n,a reptile genus of Scincidae,i44152,Scincella|genus Scincella,Q1073830
01687748-n,type genus of the Cordylidae; spiny lizards somewhat resembling tiny crocodiles,i44158,Cordylus|genus Cordylus,Q536460
