wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid,wn_qid_candidate,qid_count_original,wd_label,wd_parent,wd_description
11989173-n,North American herb having whorled leaves and terminal clusters of small pinkish or purple flower heads,i100123,Joe-Pye weed|spotted Joe-Pye weed|Eupatorium maculatum,Q1951405|Q38732209,Q1951405,2,Eutrochium maculatum,Eutrochium,species of plant
11955799-n,a common European aster that grows in salt marshes,i99940,sea aster|sea starwort|Aster tripolium,Q26808337|Q19796604,Q19796604,2,Aster tripolium,Aster,species of plant
11820489-n,North American woodland herb similar to and used as substitute for the Chinese ginseng,i99307,American ginseng|sang|Panax quinquefolius,Q19833747|Q2737217,Q19833747,2,Aralia quinquefolia,Aralia,species of plant
12504749-n,yucca of southwestern United States and Mexico with a tall spike of creamy white flowers,i102563,Our Lord's candle|Yucca whipplei,Q19848612|Q290767,Q19848612,2,Hesperoyucca whipplei,Hesperoyucca,species of plant in the family Asparagaceae
11953856-n,rhizomatous perennial wood aster of eastern North America with white flowers,i99929,white wood aster|Aster divaricatus,Q19848818|Q13911606,Q19848818,2,Eurybia divaricata,Eurybia,species of plant
11954932-n,tufted perennial wood aster of North America; naturalized in Europe,i99935,large-leaved aster|Aster macrophyllus,Q19848825|Q174445,Q19848825,2,Eurybia macrophylla,Eurybia,species of flowering plant
11989635-n,North American herb having whorled leaves and terminal clusters of flowers spotted with purple,i100125,Joe-Pye weed|purple boneset|trumpet weed|marsh milkweed|Eupatorium purpureum,Q19848832|Q2716731,Q19848832,2,Eutrochium purpureum,Eutrochium,species of plants
11832175-n,common perennial native to Europe and western Asia having usually pink flowers with ragged petals,i99365,ragged robin|cuckoo flower|Lychnis flos-cuculi|Lychnis floscuculi,Q19849678|Q21038,Q19849678,2,Silene flos-cuculi,Silene,species of plant
11849442-n,European plant naturalized in North America; often collected from the wild as a potherb,i99446,good-king-henry|allgood|fat hen|wild spinach|Chenopodium bonus-henricus,Q163805|Q19849736,Q19849736,2,Chenopodium bonus-henricus,Chenopodium,species of plant
11887175-n,plant of western North America having trifoliate leaves and white or pink spider-shaped flowers; sometimes used as an ornamental,i99625,Rocky Mountain bee plant|stinking clover|Cleome serrulata,Q19849781|Q5131677,Q19849781,2,Peritoma serrulata,Peritoma,species of plant
12238791-n,medium to tall fast-growing tree with orange flowers and feathery bipinnate leaves silky-hairy beneath; eastern Australia,i101291,silky oak|Grevillea robusta,Q65940436|Q1989614,Q1989614,2,Grevillea robusta,Grevillea,species of plant
02579672-n,"fish of western Atlantic and Gulf of Mexico, also known as the coolihoo (Caranx bartholomaei)",i49233,yellow jack|Caranx bartholomaei,Q1995094|Q60594032,Q1995094,2,Yellow jack,Carangoides,species of fish
12746919-n,European willow having greyish leaves and yellow-orange twigs used in basketry,i103718,golden willow|Salix alba vitellina|Salix vitellina,Q20061120|Q21877272|Q5649436,Q20061120,3,Salix alba var. vitellina,Salix alba,variety of plant
12032089-n,stiff much-branched perennial of the Mediterranean region having very white woolly stems and leaves,i100330,dusty miller|Senecio cineraria|Cineraria maritima,Q20061216|Q15591639,Q20061216,2,Senecio bicolor subsp. cineraria,Senecio bicolor,subspecies of plant
13025400-n,a mildly poisonous fungus with a fruiting body shaped like a hollow trumpet,i105082,floccose chanterelle|Cantharellus floccosus,Q2031545|Q59511989,Q2031545,2,Gomphus floccosus,Gomphus,species of fungus
02129117-n,medium-sized wildcat of Central America and South America having a dark-striped coat,i46625,tiger cat|Felis tigrina,Q205948|Q122653137,Q205948,2,oncilla,Leopardus,species of mammal
02086723-n,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,i46360,dog|domestic dog|Canis familiaris,Q26972265|Q20717272|Q144,Q20717272,3,Canis familiaris,Canis,species of mammal
12024283-n,European hawkweed having flower heads with bright orange-red rays; a troublesome weed especially as naturalized in northeastern North America; sometimes placed in genus Hieracium,i100294,orange hawkweed|Pilosella aurantiaca|Hieracium aurantiacum,Q159107|Q20757547,Q20757547,2,Pilosella aurantiaca,Pilosella,species of plant
85147429-n,a jackal native to Southern Africa with a stripe down its side,,jackal|Canis adustus|side-striped jackal,Q125815593|Q208079,Q208079,2,Canis adustus,Canis,species of mammal
02420309-n,wild goat of Iran and adjacent regions,i48333,bezoar goat|pasang|Capra aegagrus,Q20908547|Q178228,Q20908547,2,Capra hircus aegagrus,Capra hircus,name that may not be used
02124460-n,any domesticated member of the genus Felis,i46594,domestic cat|house cat|Felis domesticus|Felis catus,Q57818409|Q20980826,Q20980826,2,Felis catus,cats,species of mammal
11832175-n,common perennial native to Europe and western Asia having usually pink flowers with ragged petals,i99365,ragged robin|cuckoo flower|Lychnis flos-cuculi|Lychnis floscuculi,Q19849678|Q21038,Q21038,2,Lychnis flos-cuculi,Lychnis,species of herbaceous perennial plant
13092131-n,a fungus with a white convex cap and arcuate white gills and a stalk that tapers toward the base,i105407,Hygrophorus borealis,Q21159506|Q59489281,Q21159506,2,Cuphophyllus borealis,Cuphophyllus,species of Agaricomycetes
12356741-n,very large red gum tree,i101861,red gum|marri|Eucalyptus calophylla,Q2998198|Q21266867,Q21266867,2,Eucalyptus calophylla,Eucalyptus,species of plant
12410831-n,common European violet that grows in woods and hedgerows,i102127,hedge violet|wood violet|Viola sylvatica|Viola reichenbachiana,Q594058|Q21301601,Q21301601,2,Viola sylvatica,Viola,species of plant
12585118-n,densely hairy perennial of central North America having edible tuberous roots,i102929,breadroot|Indian breadroot|pomme blanche|pomme de prairie|Psoralea esculenta,Q21314347|Q1283624,Q21314347,2,Pediomelum esculentum,Pediomelum,species of plant
12112934-n,herb with scarlet or white or purple blossoms that close at approach of rainy weather,i100701,scarlet pimpernel|red pimpernel|poor man's weatherglass|Anagallis arvensis,Q21327968|Q160573,Q21327968,2,Lysimachia arvensis,Lysimachia,species of plant
11773824-n,erect to decumbent short-lived perennial having red-purple to pink flowers; the most commonly grown forage clover,i99089,red clover|purple clover|Trifolium pratense,Q21381394|Q156635,Q21381394,2,Trifolium pratense var. sativum,Trifolium pratense,variety of plant
11631053-n,very small tree similar to Rocky mountain pinon but having a single needle per fascicle; similar to Parry's pinyon in range,i98395,California single-leaf pinyon|Pinus californiarum,Q21384176|Q106918872,Q21384176,2,Pinus monophylla californiarum,Pinus monophylla,subspecies of plant
12454744-n,plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum,i102328,leek|scallion|Allium porrum,Q33681353|Q21870138,Q21870138,2,Allium porrum,Allium,species of plant
11826990-n,perennial succulent herb with small solitary axillary or terminal flowers,i99336,seabeach sandwort|Arenaria peploides,Q157949|Q21870734,Q21870734,2,Arenaria peploides,Arenaria,species of plant
11953726-n,perennial wood aster of eastern North America,i99928,heart-leaved aster|Aster cordifolius,Q4050493|Q21871600,Q21871600,2,Aster cordifolius,Aster,species of plant
11954197-n,common much-branched North American perennial with heathlike foliage and small starry white flowers,i99931,heath aster|Aster ericoides,Q7160573|Q21871614,Q21871614,2,Aster ericoides,Aster,species of plant
11955085-n,common perennial of eastern North America having showy purplish flowers; a parent of the Michaelmas daisy,i99936,New England aster|Aster novae-angliae,Q1894641|Q21871639,Q21871639,2,Aster novae-angliae,Aster,species of plant
11849674-n,Eurasian aromatic oak-leaved goosefoot with many yellow-green flowers; naturalized North America,i99447,Jerusalem oak|feather geranium|Mexican tea|Chenopodium botrys|Atriplex mexicana,Q1746114|Q21872302,Q21872302,2,Chenopodium botrys,Chenopodium,species of plant
12140056-n,a dune grass of the Pacific seacoast used as a sand binder,i100839,sea lyme grass|European dune grass|Elymus arenarius|Leymus arenaria,Q1426766|Q21874166,Q21874166,2,Elymus arenarius,Elymus,species of plant
12140339-n,weedy rye grass having long bristling awns,i100841,medusa's head|Elymus caput-medusae,Q3837887|Q21874168,Q21874168,2,Elymus caput-medusae,Elymus,species of plant
12352735-n,tropical tree of the East Indies cultivated for its edible fruit,i101840,rose apple|rose-apple tree|jambosa|Eugenia jambos|Syzygium jambos,Q31931|Q21874222,Q21874222,2,Eugenia jambos,Eugenia,species of plant
11924946-n,glaucous herb of northeastern United States and Canada having loose racemes of yellow-tipped pink flowers; sometimes placed in genus Fumaria,i99806,Roman wormwood|rock harlequin|Corydalis sempervirens|Fumaria sempervirens,Q15324515|Q21874304|Q1478395,Q21874304,3,Fumaria sempervirens,Fumaria,species of plant
12023636-n,widespread European weed with spiny tongue-shaped leaves and yellow flowers; naturalized in United States,i100291,oxtongue|bristly oxtongue|bitterweed|bugloss|Picris echioides,Q1764432|Q21876251,Q21876251,2,Picris echioides,Picris,species of plant
12581814-n,variety of pea plant native to the Mediterranean region and North Africa and widely grown especially for forage,i102913,field pea|field-pea plant|Austrian winter pea|Pisum sativum arvense|Pisum arvense,Q149758|Q21876275,Q21876275,2,Pisum arvense,Pisum,species of plant
12297145-n,medium to large deciduous tree of the eastern United States; its durable wood is used as timber or split and woven into baskets or chair seats,i101570,basket oak|cow oak|Quercus prinus|Quercus montana,Q1735296|Q21877190,Q21877190,2,Quercus prinus,,species of plant
12826775-n,spiny Eurasian shrub having greenish purple-tinged flowers and ovoid yellow-green or red-purple berries,i104105,gooseberry|gooseberry bush|Ribes uva-crispa|Ribes grossularia,Q41503|Q21877236,Q21877236,2,Ribes grossularia,Ribes,species of plant
12746919-n,European willow having greyish leaves and yellow-orange twigs used in basketry,i103718,golden willow|Salix alba vitellina|Salix vitellina,Q20061120|Q21877272|Q5649436,Q21877272,3,Salix vitellina,Salix,species of plant
12699309-n,common elder of central and eastern North America bearing purple-black berries; fruit used in wines and jellies,i103491,American elder|black elderberry|sweet elder|Sambucus canadensis,Q1640817|Q21877280,Q21877280,2,Sambucus canadensis,Sambucus,species of plant
12110363-n,common European twining vine with tuberous roots and cordate leaves and red berries,i100688,black bryony|black bindweed|Tamus communis,Q161378|Q21877561,Q21877561,2,Tamus communis,Tamus,species of plant
01650281-n,of a great variety of habitats from southern Alaska to Baja California west of the Rockies,i43976,western toad|Bufo boreas,Q2191167|Q109525827,Q2191167,2,western toad,Anaxyrus,species of amphibian
13244741-n,ground pine thickly covered with bristly leaves; widely distributed in barren sandy or peaty moist coastal regions of eastern and southeastern United States,i106137,foxtail grass|Lycopodium alopecuroides,Q15321697|Q21976231,Q21976231,2,Lycopodium alopecuroides,Lycopodium,species of plant
13243883-n,a variety of club moss which occurs throughout northern latitudes in the Northern Hemisphere (Lycopodium alpinum),i106131,alpine clubmoss|Lycopodium alpinum,Q2715589|Q21976234,Q21976234,2,Lycopodium alpinum,Lycopodium,species of plant
13244486-n,"a variety of club moss, with the common names Creeping Jenny or Northern Running-pine (Lycopodium complanatum)",i106135,ground cedar|staghorn moss|Lycopodium complanatum,Q787930|Q21976241,Q21976241,2,Lycopodium complanatum,Lycopodium,species of plant
13243988-n,of northern Europe and America; resembling a miniature fir,i106132,fir clubmoss|mountain clubmoss|little clubmoss|Lycopodium selago,Q1142154|Q21976256,Q21976256,2,Lycopodium selago,Lycopodium,species of plant
12569309-n,European medic naturalized in North America having yellow flowers and sickle-shaped pods,i102854,sickle alfalfa|sickle lucerne|sickle medick|Medicago falcata,Q158531|Q21976301,Q21976301,2,Medicago falcata,Medicago,species of plant
12064510-n,North American orchid having a spike of violet-purple flowers mixed with white; sepals and petals form a hood,i100471,showy orchis|purple orchis|purple-hooded orchis|Orchis spectabilis,Q1596744|Q21977702,Q21977702,2,Orchis spectabilis,Orchis,species of plant
11745949-n,common summer-flowering woodland herb of Labrador to Colorado,i98952,Canada anemone|Anemone canadensis,Q91249630|Q2198861,Q2198861,2,Anemone canadensis,Anemone,species of plant
01947784-n,serious garden pest having a brown shell with paler zigzag markings; nearly cosmopolitan in distribution,i45557,brown snail|Helix aspersa|Cornu aspersum,Q22019793|Q927080,Q22019793,2,Cornu aspersum,Cornu,species of mollusc
13202886-n,small rock-inhabiting fern of northern temperate zone and Hawaii with pinnate fronds,i105925,maidenhair spleenwort|Asplenium trichomanes,Q2205624|Q902211,Q2205624,2,Asplenium trichomanes subsp. pachyrachis,Asplenium trichomanes,subspecies of plant
12009862-n,alpine perennial plant native to Europe having leaves covered with whitish down and small flower heads held in stars of glistening whitish bracts,i100226,edelweiss|Leontopodium alpinum,Q22111554|Q15584175,Q22111554,2,Leontopodium nivale subsp. alpinum,edelweiss,subspecies of edelweiss plant
01980928-n,small edible crab of Pacific coast of North America,i45744,Dungeness crab|Cancer magister,Q1936093|Q22112422,Q22112422,2,Cancer magister,Cancer,species of Malacostraca
11885898-n,shrub of southern Florida to West Indies,i99618,caper tree|Jamaica caper tree|Capparis cynophallophora,Q22114345|Q5036115,Q22114345,2,Quadrella cynophallophora,Quadrella,species of plant
12083282-n,orchid growing along streams or ponds of western North America having leafy stems and 1 greenish-brown and pinkish flower in the axil of each upper leaf,i100559,stream orchid|chatterbox|giant helleborine|Epipactis gigantea,Q93296656|Q2221912,Q2221912,2,giant helleborine,Epipactis,species of plant
01594898-n,chickadee having a dark crown,i43663,black-capped chickadee|blackcap|Parus atricapillus|Poecile atricapillus,Q282687|Q22231582,Q22231582,2,Parus atricapillus,Parus,species of bird
01595181-n,southern United States chickadee similar to the blackcap but smaller,i43665,Carolina chickadee|Parus carolinensis|Poecile carolinensis,Q1079441|Q22232931,Q22232931,2,Parus carolinensis,Parus,species of bird
11980101-n,Mediterranean thistlelike plant widely cultivated for its large edible flower head,i100078,artichoke|globe artichoke|artichoke plant|Cynara scolymus,Q23044189|Q134609,Q23044189,2,Cynara cardunculus subsp. scolymus,Cynara cardunculus,subspecies of plant
12985680-n,fungus causing Dutch elm disease,i104893,Dutch elm fungus|Ceratostomella ulmi,Q2324137|Q59546811,Q2324137,2,Ophiostoma ulmi,Ophiostoma,species of fungus
01653542-n,the most commonly heard frog on the Pacific coast of America,i43993,Pacific tree toad|Hyla regilla,Q2336996|Q41083826,Q2336996,2,Pacific treefrog,Pseudacris,species of amphibian
13022289-n,common edible mushroom found naturally in moist open soil; the cultivated mushroom of commerce,i105066,meadow mushroom|field mushroom|Agaricus campestris,Q108691775|Q234529,Q234529,2,Agaricus campestris,Agaricus,species of fungus
12865947-n,an aromatic fleshy herb of India and Ceylon to South Africa; sometimes placed in genus Plectranthus,i104298,country borage|Coleus aromaticus|Coleus amboinicus|Plectranthus amboinicus,Q2359202|Q39087854,Q2359202,2,Plectranthus amboinicus,Plectranthus,species of plant
12479379-n,southern African herb with white bell-shaped flowers,i102444,summer hyacinth|cape hyacinth|Hyacinthus candicans|Galtonia candicans,Q2366444|Q38492612,Q2366444,2,Ornithogalum candicans,Ornithogalum,species of plant
01946759-n,a large variety of conch,i45551,giant conch|Strombus gigas|Lobatus gigas,Q62603|Q23747451,Q23747451,2,Strombus gigas,Strombus,species of mollusc
06311048-n,a word form that has entered the language through the perpetuation of an error,i69587,ghost word,Q2398560|Q1511109,Q2398560,2,,,
02129439-n,small wildcat of the mountains of Siberia and Tibet and Mongolia,i46627,manul|Pallas's cat|Felis manul|Otocolobus manul,Q166794|Q24006022,Q24006022,2,Felis manul,cats,species of mammal
01649821-n,of high Sierra Nevada meadows and forest borders,i43973,Yosemite toad|Bufo canorus|Anaxyrus canorus,Q302397|Q24248378,Q24248378,2,Bufo canorus,Bufo,species of amphibian
12474941-n,small early blooming tulip,i102422,dwarf tulip|Tulipa armena|Tulipa suaveolens,Q7852084|Q2425417,Q2425417,2,Tulipa suaveolens,Tulipa,species of plant
12677289-n,red raspberry of North America,i103383,American raspberry|Rubus strigosus|Rubus idaeus strigosus,Q24689114|Q210156,Q24689114,2,Rubus idaeus subsp. strigosus,Rubus idaeus,subspecies of plant
12669185-n,small straggling American cherry growing on sandy soil and having minute scarcely edible purplish-black fruit,i103344,sand cherry|Prunus pumila|Prunus pumilla susquehanae|Prunus susquehanae|Prunus cuneata,Q24694478|Q17235424,Q24694478,2,Prunus pumila var. susquehanae,Prunus pumila,variety of plants
12751304-n,willow shrub of dry places in the eastern United States having long narrow leaves canescent beneath,i103741,dwarf grey willow|dwarf gray willow|sage willow|Salix tristis,Q24694533|Q39908047,Q24694533,2,Salix humilis var. tristis,Salix humilis,variety of plants
12259008-n,evergreen shrub of eastern North America having white or creamy bell-shaped flowers and dark green hairy leaves used for tea during American Revolution,i101389,Labrador tea|crystal tea|Ledum groenlandicum,Q247753|Q38907427,Q247753,2,Rhododendron groenlandicum,Rhododendron,species of plant
02352209-n,large stiff-haired rodent of shortgrass prairies of United States,i47907,hispid pocket mouse|Perognathus hispidus|Chaetodipus hispidus,Q167053|Q24808782,Q24808782,2,Perognathus hispidus,Perognathus,species of the genus Perognathus
12434147-n,iris with purple flowers and foul-smelling leaves; southern and western Europe and North Africa,i102233,stinking iris|gladdon|gladdon iris|stinking gladwyn|roast beef plant|Iris foetidissima,Q93186409|Q2484930,Q2484930,2,Iris foetidissima,Iris,species of plant
12358775-n,similar to but smaller than the spotted gum and having lemon-scented leaves,i101874,lemon-scented gum|Eucalyptus citriodora|Eucalyptus maculata citriodora,Q2549523|Q24852935,Q24852935,2,Eucalyptus citriodora,Eucalyptus,species of plant
12358663-n,large gum tree with mottled bark,i101873,spotted gum|Eucalyptus maculata,Q3337015|Q24852937,Q24852937,2,Eucalyptus maculata,Eucalyptus,species of plant
12162967-n,"wheat with hard dark-colored kernels high in gluten and used for bread and pasta; grown especially in southern Russia, North Africa, and northern central North America",i100960,durum|durum wheat|hard wheat|Triticum durum|Triticum turgidum|macaroni wheat,Q24878639|Q618324,Q24878639,2,Triticum turgidum subsp. durum,Triticum turgidum,subspecies of plant
13203360-n,small delicate spleenwort found on a steep slope (as a wall or cliff) of Eurasia and North America,i105928,wall rue|wall rue spleenwort|Asplenium ruta-muraria,Q24955230|Q1125768,Q24955230,2,Trichomanes ruta-muraria,Trichomanes,species of plant
11672827-n,large Australian tree with straight-grained yellow wood that turns brown on exposure,i98601,brown pine|Rockingham podocarp|Podocarpus elatus,Q65943052|Q2504953,Q2504953,2,Podocarpus elatus,Podocarpus sect. Podocarpus,species of plant
12697131-n,a grey deciduous honeysuckle shrub paired white flowers turning yellow; Japan,i103480,Morrow's honeysuckle|Lonicera morrowii,Q25117628|Q2701825,Q25117628,2,Lonicera tatarica var. morrowii,Lonicera tatarica,variety of plants
01582219-n,common black-and-grey Eurasian bird noted for thievery,i43586,jackdaw|daw|Corvus monedula,Q25345384|Q25394,Q25345384,2,Western Jackdaw,jackdaw,species of bird
12002811-n,European hawkweed introduced into northeastern United States; locally troublesome weeds,i100190,king devil|yellow hawkweed|Hieracium praealtum,Q25362844|Q15575765|Q8051739,Q25362844,3,Pilosella piloselloides subsp. praealta,Pilosella piloselloides,subspecies of plant
01582219-n,common black-and-grey Eurasian bird noted for thievery,i43586,jackdaw|daw|Corvus monedula,Q25345384|Q25394,Q25394,2,Eurasian Jackdaw,Corvus,species of bird
13076183-n,a fungus convex cap and a dingy yellow under surface and a dry stalk,i105327,Boletus chrysenteron,Q254161|Q41475394,Q254161,2,Xerocomellus chrysenteron,Xerocomellus,species of fungus
12358775-n,similar to but smaller than the spotted gum and having lemon-scented leaves,i101874,lemon-scented gum|Eucalyptus citriodora|Eucalyptus maculata citriodora,Q2549523|Q24852935,Q2549523,2,Corymbia citriodora,Corymbia,species of plant
01851196-n,small Eurasian teal,i45057,garganey|Anas querquedula|Spatula querquedula,Q28106902|Q25644,Q25644,2,Anas querquedula,Anas,species of bird
01597809-n,of Australia and Polynesia; nests in tree cavities,i43681,tree swallow|tree martin|Hirundo nigricans|Petrochelidon nigricans,Q2668013|Q25651097,Q25651097,2,Tree martin,Hirundo,species of bird
01838728-n,American nocturnal goatsucker with grey-and-white plumage,i44984,whippoorwill|Caprimulgus vociferus,Q1268205|Q25658709,Q25658709,2,Eastern whip-poor-will,Caprimulgus,species of bird
02026839-n,rare plover of upland areas of Eurasia,i46009,dotterel|dotrel|Charadrius morinellus|Eudromias morinellus,Q25677554|Q202504,Q25677554,2,Eudromias morinellus,Eudromias,species of bird
02044834-n,small black-headed European gull,i46116,laughing gull|blackcap|pewit|pewit gull|Larus ridibundus,Q25634|Q25689558,Q25689558,2,Larus ridibundus,Larus,species of bird
01595335-n,widely distributed European titmouse with bright cobalt blue wings and tail and crown of the head,i43666,blue tit|tomtit|Parus caeruleus|Cyanistes caeruleus,Q25404|Q25689712,Q25689712,2,Parus caeruleus,Parus,species of birds
11907006-n,erect European annual often grown as a salad crop to be harvested when young and tender,i99717,rocket|roquette|garden rocket|rocket salad|arugula|Eruca sativa|Eruca vesicaria sativa,Q156884|Q25694275,Q25694275,2,Eruca sativa,Eruca,species of plant
02377103-n,solid-hoofed herbivorous quadruped domesticated since prehistoric times,i48054,horse|Equus caballus,Q26644764|Q10758650,Q26644764,2,Equus ferus caballus,,subspecies of mammal
01649674-n,small green or yellow-green toad with small black bars and stripes,i43972,American green toad|Bufo debilis|Anaxyrus debilis,Q2665299|Q28032129,Q2665299,2,Green toad,Anaxyrus,species of amphibian
11777339-n,Australian tree that yields tanning materials,i99103,black wattle|Acacia auriculiformis,Q43375010|Q2673522,Q2673522,2,Acacia auriculiformis,Acacia,species of plant
11955799-n,a common European aster that grows in salt marshes,i99940,sea aster|sea starwort|Aster tripolium,Q26808337|Q19796604,Q26808337,2,Tripolium pannonicum subsp. tripolium,Tripolium pannonicum,subspecies of plant
01644032-n,common North American green or brownish frog having white-edged dark oval spots,i43938,leopard frog|spring frog|Rana pipiens|Lithobates pipiens,Q1819586|Q26830590,Q26830590,2,Rana pipiens,Rana,species of Amphibia
01734582-n,a whipsnake of scrublands and rocky hillsides,i44416,California whipsnake|striped racer|Masticophis lateralis,Q2135031|Q26849100,Q26849100,2,Masticophis lateralis,Masticophis,species of reptile
02086723-n,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,i46360,dog|domestic dog|Canis familiaris,Q26972265|Q20717272|Q144,Q26972265,3,Canis lupus familiaris,Canis lupus,subspecies of mammal
12697131-n,a grey deciduous honeysuckle shrub paired white flowers turning yellow; Japan,i103480,Morrow's honeysuckle|Lonicera morrowii,Q25117628|Q2701825,Q2701825,2,Lonicera morrowii,Lonicera,species of plant
01534280-n,South American species of scarlet finch with black head and wings and tail,i43296,red siskin|Carduelis cucullata,Q27075875|Q1142542,Q27075875,2,Carduelis cucullata,Spinus,species of bird
13243883-n,a variety of club moss which occurs throughout northern latitudes in the Northern Hemisphere (Lycopodium alpinum),i106131,alpine clubmoss|Lycopodium alpinum,Q2715589|Q21976234,Q2715589,2,Diphasiastrum alpinum,Diphasiastrum,species of plant
11989635-n,North American herb having whorled leaves and terminal clusters of flowers spotted with purple,i100125,Joe-Pye weed|purple boneset|trumpet weed|marsh milkweed|Eupatorium purpureum,Q19848832|Q2716731,Q2716731,2,Eupatorium purpureum,Eupatorium,species of plant
01504742-n,one of the largest skates (to 5 feet); an active skate easy to hook,i43201,barndoor skate|Raja laevis,Q2718062|Q9066054,Q2718062,2,Barndoor skate,Dipturus,species of fish
12114402-n,a small fleshy herb common along North American seashores and in brackish marshes having pink or white flowers,i100709,sea milkwort|sea trifoly|black saltwort|Glaux maritima,Q2720092|Q157851,Q2720092,2,Lysimachia maritima,Lysimachia,species of plant
11820489-n,North American woodland herb similar to and used as substitute for the Chinese ginseng,i99307,American ginseng|sang|Panax quinquefolius,Q19833747|Q2737217,Q2737217,2,American ginseng,Panax,species of plant
02128341-n,long-bodied long-tailed tropical American wildcat,i46620,jaguarundi|jaguarundi cat|jaguarondi|eyra|Felis yagouaroundi,Q27450846|Q27450875|Q182304,Q27450846,3,Herpailurus yagouaroundi,Herpailurus,species of mammal
02128341-n,long-bodied long-tailed tropical American wildcat,i46620,jaguarundi|jaguarundi cat|jaguarondi|eyra|Felis yagouaroundi,Q27450846|Q27450875|Q182304,Q27450875,3,Felis yagouaroundi,cats,species of mammal
13236156-n,large Australasian evergreen fern with an edible rhizome sometimes used as a vegetable by indigenous people,i106092,potato fern|Marattia salicina,Q7257082|Q27828610,Q27828610,2,Marattia salicina,Marattia,species of bracken fern
12973477-n,large fern of New Zealand having kidney-shaped fronds,i104825,kidney fern|Trichomanes reniforme,Q15606693|Q27837164,Q27837164,2,Trichomanes reniforme,Trichomanes,species of Equisetopsida
02396592-n,a tapir found in Malaya and Sumatra,i48193,Malayan tapir|Indian tapir|Tapirus indicus,Q27868283|Q192710,Q27868283,2,Acrocodia indica,Acrocodia,species of Acrocodia
01649674-n,small green or yellow-green toad with small black bars and stripes,i43972,American green toad|Bufo debilis|Anaxyrus debilis,Q2665299|Q28032129,Q28032129,2,Bufo debilis,Bufo,species of Amphibia
01644898-n,a meadow frog of eastern North America,i43943,pickerel frog|Rana palustris|Lithobates palustris,Q28035920|Q469979,Q28035920,2,Lithobates palustris,Lithobates,species of Amphibia
01851617-n,freshwater duck of the Northern Hemisphere having a broad flat bill,i45060,shoveler|shoveller|broadbill|Anas clypeata|Spatula clypeata,Q28106731|Q25940,Q28106731,2,Northern Shoveler,Spatula,species of bird
01851289-n,freshwater duck of Eurasia and northern Africa related to mallards and teals,i45058,widgeon|wigeon|Anas penelope|Mareca penelope,Q28106837|Q26459,Q28106837,2,Eurasian Wigeon,Mareca,species of bird
02047562-n,large brown skua of the northern Atlantic,i46134,great skua|Catharacta skua,Q207760|Q28125238,Q28125238,2,Catharacta skua,Catharacta,species of bird
02120298-n,of southern Africa,i46570,brown hyena|strand wolf|Hyaena brunnea|Parahyaena brunnea,Q28157482|Q210644,Q28157482,2,Brown Hyaena,Parahyaena,species of mammal
11652070-n,rare California cypress taller than but closely related to gowen cypress and sometimes considered the same species,i98496,Santa Cruz cypress|Cupressus abramsiana|Cupressus goveniana abramsiana,Q28192849|Q5194570,Q28192849,2,Cupressus goveniana var. abramsiana,Cupressus goveniana,variety of plant
11971155-n,European herb with bright yellow flowers; a common weed in grain fields,i100032,corn marigold|field marigold|Chrysanthemum segetum,Q28242|Q15627858,Q28242,2,Glebionis segetum,Glebionis,species of plant
11870452-n,a low tuberculate cactus with white feathery spines; northeastern Mexico,i99547,feather ball|Mammillaria plumosa,Q15339901|Q283486,Q283486,2,Mammillaria plumosa,Mammillaria,species of plant
12487523-n,plant of western North America having grasslike leaves and greenish-white flowers,i102484,alkali grass|Zigadenus elegans,Q2853166|Q15221394,Q2853166,2,Anticlea elegans,Anticlea,species of plant
12679364-n,a variety of mountain ash,i103394,American mountain ash|Sorbus americana,Q87645487|Q285587,Q285587,2,Sorbus americana,Sorbus,species of plant
11651610-n,small sometimes shrubby tree native to California; often used as an ornamental; in some classification systems includes the pygmy cypress and the Santa Cruz cypress,i98494,gowen cypress|Cupressus goveniana,Q65944114|Q287544,Q287544,2,Cupressus goveniana,Cupressus,species of plant
12302491-n,small American birch with peeling white bark often worked into e.g. baskets or toy canoes,i101591,American white birch|paper birch|paperbark birch|canoe birch|Betula cordifolia|Betula papyrifera,Q28807132|Q2900277,Q28807132,2,Betula papyrifera var. cordifolia,Betula papyrifera,variety of plant
12968516-n,shrub of eastern North America closely resembling silky cornel,i104797,silky dogwood|Cornus obliqua,Q28808166|Q17244868,Q28808166,2,Cornus amomum subsp. obliqua,Cornus amomum,subspecies of plant
12135900-n,tall grass of New Zealand grown for plumelike flower heads,i100817,plumed tussock|toe toe|toetoe|Cortaderia richardii|Arundo richardii,Q28819289|Q39543786,Q28819289,2,Cortaderia richardii,Cortaderia,species of plant
03314753-n,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,i53547,fabric|cloth|material|textile,Q5849500|Q28823,Q28823,2,textile,,various fiber-based materials
